schema_name,table_name,constraint_name,constraint_type,definition
public,posts,posts_status_check,c,"CHECK ((status = ANY (ARRAY['draft'::text, 'scheduled'::text, 'publishing'::text, 'published'::text, 'failed'::text])))"
public,posts,posts_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,processed_comments,processed_comments_automation_id_comment_id_key,u,"UNIQUE (automation_id, comment_id)"
public,processed_comments,processed_comments_automation_id_fkey,f,FOREIGN KEY (automation_id) REFERENCES automations(id) ON DELETE CASCADE
public,processed_comments,processed_comments_pkey,p,PRIMARY KEY (id)
public,processed_comments,processed_comments_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,published_posts,published_posts_pkey,p,PRIMARY KEY (id)
public,published_posts,published_posts_platform_platform_post_id_key,u,"UNIQUE (platform, platform_post_id)"
public,published_posts,published_posts_post_id_fkey,f,FOREIGN KEY (post_id) REFERENCES posts(id) ON DELETE CASCADE
public,social_accounts,social_accounts_pkey,p,PRIMARY KEY (id)
public,social_accounts,social_accounts_platform_account_id_unique,u,"UNIQUE (platform, account_id)"
public,social_accounts,social_accounts_platform_check,c,"CHECK ((platform = ANY (ARRAY['facebook'::text, 'instagram'::text, 'linkedin'::text, 'twitter'::text])))"
public,social_accounts,social_accounts_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,social_accounts,social_accounts_workspace_platform_unique,u,"UNIQUE (workspace_id, platform)"
public,webhook_events,webhook_events_event_key_key,u,UNIQUE (event_key)
public,webhook_events,webhook_events_pkey,p,PRIMARY KEY (id)
public,webhook_events,webhook_events_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,workspace_brand_profiles,workspace_brand_profiles_pkey,p,PRIMARY KEY (id)
public,workspace_brand_profiles,workspace_brand_profiles_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,workspace_brand_profiles,workspace_brand_profiles_workspace_id_key,u,UNIQUE (workspace_id)
public,workspace_members,workspace_members_pkey,p,PRIMARY KEY (id)
public,workspace_members,workspace_members_role_check,c,"CHECK ((role = ANY (ARRAY['owner'::text, 'admin'::text, 'editor'::text, 'viewer'::text])))"
public,workspace_members,workspace_members_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,workspace_members,workspace_members_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,workspace_members,workspace_members_workspace_id_user_id_key,u,"UNIQUE (workspace_id, user_id)"
public,workspace_settings,workspace_settings_pkey,p,PRIMARY KEY (id)
public,workspace_settings,workspace_settings_workspace_id_fkey,f,FOREIGN KEY (workspace_id) REFERENCES workspaces(id) ON DELETE CASCADE
public,workspace_settings,workspace_settings_workspace_id_key,u,UNIQUE (workspace_id)
public,workspaces,workspaces_owner_id_fkey,f,FOREIGN KEY (owner_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,workspaces,workspaces_pkey,p,PRIMARY KEY (id)
public,workspaces,workspaces_slug_key,u,UNIQUE (slug)
